year,zone,variable,ssp126,ssp245,ssp370,ssp585
2100,Global,max_tas_loe,0.4,1.9,3.4,4.6
2100,Temperate,max_tas_loe,0.5,2.1,3.7,5
2100,Tropical,max_tas_loe,0.4,1.4,2.9,3.6
2100,Global,avg_tas_loe,0.3,1.6,3.1,4.1
2100,Temperate,avg_tas_loe,0.3,1.7,3.2,4.4
2100,Tropical,avg_tas_loe,0.4,1.4,2.8,3.4
2100,Global,min_tas_loe,0.6,1.6,3.7,5.2
2100,Temperate,min_tas_loe,0.6,1.5,4,5.8
2100,Tropical,min_tas_loe,0.5,1.7,3.1,3.7
2100,Global,max_ps_loe,-0.3,-0.6,1.1,1.3
2100,Temperate,max_ps_loe,-0.3,-0.8,1.3,1.5
2100,Tropical,max_ps_loe,-0.2,0,0.5,0.8
2100,Global,avg_ps_loe,0,0.4,0.5,0.6
2100,Temperate,avg_ps_loe,0,0.4,0.6,0.6
2100,Tropical,avg_ps_loe,-0.1,0.2,0.5,0.6
2100,Global,min_ps_loe,-0.2,-0.2,1.4,0.5
2100,Temperate,min_ps_loe,-0.3,-0.5,1.7,0.4
2100,Tropical,min_ps_loe,0,0.4,0.8,0.6
2100,Global,max_hurs_loe,-0.2,-0.3,-0.3,-0.2
2100,Temperate,max_hurs_loe,-0.1,-0.1,-0.2,-0.2
2100,Tropical,max_hurs_loe,-0.3,-0.6,-0.5,-0.4
2100,Global,avg_hurs_loe,-0.1,-1.5,-2.1,-3.2
2100,Temperate,avg_hurs_loe,-0.1,-2,-2.5,-4
2100,Tropical,avg_hurs_loe,-0.1,-0.5,-1.1,-1.1
2100,Global,min_hurs_loe,-0.2,-1.5,-2,-3
2100,Temperate,min_hurs_loe,-0.3,-2.1,-2.4,-4.1
2100,Tropical,min_hurs_loe,0.2,-0.1,-1.1,-0.5
2100,Global,max_rho_loe,-3.7,-7.5,-15.7,-22.5
2100,Temperate,max_rho_loe,-4.3,-7.5,-17.1,-25.6
2100,Tropical,max_rho_loe,-2.2,-7.5,-12.6,-15.2
2100,Global,avg_rho_loe,-1.4,-6.5,-12.6,-16.8
2100,Temperate,avg_rho_loe,-1.2,-6.8,-13.1,-18.1
2100,Tropical,avg_rho_loe,-1.8,-5.9,-11.4,-13.8
2100,Global,min_rho_loe,-1.6,-6.6,-12.7,-17.3
2100,Temperate,min_rho_loe,-1.7,-7.2,-13.4,-18.6
2100,Tropical,min_rho_loe,-1.3,-5.1,-11,-14.1
2100,Global,max_hdw_loe,-0.1,0.1,-0.3,0
2100,Temperate,max_hdw_loe,-0.1,0,-0.4,0.1
2100,Tropical,max_hdw_loe,-0.1,0.2,0.1,-0.1
2100,Global,avg_hdw_loe,0,0,0,0
2100,Temperate,avg_hdw_loe,0,0,-0.1,0
2100,Tropical,avg_hdw_loe,0,0.1,0.1,0.1
2100,Global,min_hdw_loe,0,0,0,0
2100,Temperate,min_hdw_loe,0,0,0,0
2100,Tropical,min_hdw_loe,0,0,0,0
