exp,type,zone,tko_cnt,itr_sum,itr_avg
ssp126,A20n,Temperate,64203573,671762234,10.463
ssp126,A359,Temperate,64203573,2385461946,37.1547
ssp126,B39m,Temperate,64203573,1932953190,30.1066
ssp126,B789,Temperate,64203573,2974183722,46.3243
ssp245,A20n,Temperate,64203573,673607486,10.4917
ssp245,A359,Temperate,64203573,2395756215,37.315
ssp245,B39m,Temperate,64203573,1940092486,30.2178
ssp245,B789,Temperate,64203573,2984290893,46.4817
ssp370,A20n,Temperate,64203573,677338454,10.5499
ssp370,A359,Temperate,64203573,2412620008,37.5777
ssp370,B39m,Temperate,64203573,1951627168,30.3975
ssp370,B789,Temperate,64203573,3001160019,46.7444
ssp585,A20n,Temperate,64203573,678938745,10.5748
ssp585,A359,Temperate,64203573,2421999562,37.7238
ssp585,B39m,Temperate,64203573,1957753193,30.4929
ssp585,B789,Temperate,64203573,3010076046,46.8833
ssp126,A20n,Tropical,32918466,200910835,6.10329
ssp126,A359,Tropical,32918466,1361397441,41.3566
ssp126,B39m,Tropical,32918466,1114234183,33.8483
ssp126,B789,Tropical,32918466,1724778012,52.3955
ssp245,A20n,Tropical,32918466,202070954,6.13853
ssp245,A359,Tropical,32918466,1368287039,41.5659
ssp245,B39m,Tropical,32918466,1119484435,34.0078
ssp245,B789,Tropical,32918466,1731781764,52.6082
ssp370,A20n,Tropical,32918466,203611858,6.18534
ssp370,A359,Tropical,32918466,1376880460,41.827
ssp370,B39m,Tropical,32918466,1125649453,34.1951
ssp370,B789,Tropical,32918466,1740695894,52.879
ssp585,A20n,Tropical,32918466,204436356,6.21039
ssp585,A359,Tropical,32918466,1381767806,41.9755
ssp585,B39m,Tropical,32918466,1129091687,34.2996
ssp585,B789,Tropical,32918466,1746406324,53.0525
ssp126,A20n,Subtropical,13318158,180451539,13.5493
ssp126,A359,Subtropical,13318158,590496478,44.3377
ssp126,B39m,Subtropical,13318158,473336527,35.5407
ssp126,B789,Subtropical,13318158,693856728,52.0985
ssp245,A20n,Subtropical,13318158,180474090,13.551
ssp245,A359,Subtropical,13318158,592818194,44.512
ssp245,B39m,Subtropical,13318158,474852103,35.6545
ssp245,B789,Subtropical,13318158,696715883,52.3132
ssp370,A20n,Subtropical,13318158,181218427,13.6069
ssp370,A359,Subtropical,13318158,594812129,44.6617
ssp370,B39m,Subtropical,13318158,476436300,35.7734
ssp370,B789,Subtropical,13318158,699054408,52.4888
ssp585,A20n,Subtropical,13318158,181771025,13.6484
ssp585,A359,Subtropical,13318158,596373592,44.779
ssp585,B39m,Subtropical,13318158,477691438,35.8677
ssp585,B789,Subtropical,13318158,700968709,52.6326
ssp126,A20n,Frigid,251286,270328,1.07578
ssp126,A359,Frigid,251286,3294030,13.1087
ssp126,B39m,Frigid,251286,2510582,9.99093
ssp126,B789,Frigid,251286,6975774,27.7603
ssp245,A20n,Frigid,251286,271295,1.07963
ssp245,A359,Frigid,251286,3316768,13.1992
ssp245,B39m,Frigid,251286,2595447,10.3287
ssp245,B789,Frigid,251286,7162825,28.5047
ssp370,A20n,Frigid,251286,276789,1.10149
ssp370,A359,Frigid,251286,3433298,13.6629
ssp370,B39m,Frigid,251286,2771028,11.0274
ssp370,B789,Frigid,251286,7765111,30.9015
ssp585,A20n,Frigid,251286,277175,1.10303
ssp585,A359,Frigid,251286,3449323,13.7267
ssp585,B39m,Frigid,251286,2780540,11.0652
ssp585,B789,Frigid,251286,7790375,31.002
