year,zone,variable,Narrowbody_ssp126,Narrowbody_ssp245,Narrowbody_ssp370,Narrowbody_ssp585,Widebody_ssp126,Widebody_ssp245,Widebody_ssp370,Widebody_ssp585
2100,Global,tko_ok_thr_min_rel_loe_dif,-0.1,-0.3,-0.8,-1,0,-0.1,-0.2,-0.2
2100,Temperate,tko_ok_thr_min_rel_loe_dif,-0.1,-0.4,-0.8,-1,0,-0.1,-0.2,-0.3
2100,Tropical,tko_ok_thr_min_rel_loe_dif,-0.2,-0.2,-0.6,-0.9,0,0,-0.1,-0.1
2100,Global,tko_ok_thr_mid_rel_loe_dif,0.1,0,0.1,0.2,-0.1,-0.5,-1,-1.2
2100,Temperate,tko_ok_thr_mid_rel_loe_dif,0,0.1,0.1,0.2,-0.1,-0.5,-1,-1.2
2100,Tropical,tko_ok_thr_mid_rel_loe_dif,0.1,-0.1,-0.1,0.2,-0.2,-0.4,-0.9,-1.3
2100,Global,tko_ok_thr_max_no_rm_rel_loe_dif,-0.1,-0.2,-0.3,-0.4,-0.1,-0.2,-0.5,-0.5
2100,Temperate,tko_ok_thr_max_no_rm_rel_loe_dif,0,-0.2,-0.4,-0.5,-0.1,-0.3,-0.6,-0.7
2100,Tropical,tko_ok_thr_max_no_rm_rel_loe_dif,-0.1,0,-0.1,-0.1,-0.1,0,-0.2,-0.3
2100,Global,tko_ok_thr_max_rm_rel_loe_dif,0,0.2,0.4,0.5,0,0.1,0.2,0.2
2100,Temperate,tko_ok_thr_max_rm_rel_loe_dif,0,0.2,0.5,0.6,0,0.1,0.3,0.4
2100,Tropical,tko_ok_thr_max_rm_rel_loe_dif,0.1,0.1,0.3,0.4,0,-0.1,0.1,0
2100,Global,tko_ok_thr_max_rel_loe_dif,0,0,0.1,0.2,-0.1,-0.1,-0.2,-0.3
2100,Temperate,tko_ok_thr_max_rel_loe_dif,0,0,0.1,0.1,0,-0.2,-0.3,-0.3
2100,Tropical,tko_ok_thr_max_rel_loe_dif,0,0.1,0.3,0.3,-0.1,0,-0.1,-0.3
2100,Global,tko_ok_rel_loe_dif,-0.1,-0.3,-0.6,-0.6,-0.2,-0.7,-1.4,-1.8
2100,Temperate,tko_ok_rel_loe_dif,-0.1,-0.3,-0.6,-0.7,-0.2,-0.7,-1.5,-1.8
2100,Tropical,tko_ok_rel_loe_dif,-0.1,-0.2,-0.4,-0.4,-0.4,-0.5,-1.1,-1.7
2100,Global,tko_ko_rel_loe_dif,0.1,0.3,0.6,0.6,0.2,0.7,1.4,1.8
2100,Temperate,tko_ko_rel_loe_dif,0.1,0.3,0.6,0.7,0.2,0.7,1.5,1.8
2100,Tropical,tko_ko_rel_loe_dif,0.1,0.2,0.4,0.4,0.4,0.5,1.1,1.7
2100,Global,tko_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,tko_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Tropical,tko_rel_loe_dif,0,0,0,0,0,0,0,0
